table,column
ack,advertisement.external_reseller
ack,advertisement.external_reseller.network_id
ack,advertisement.external_reseller.revenue
ack,advertisement.extra_flags
ack,advertisement.extra_flags2
ack,advertisement.flags
ack,advertisement.global_advertiser_ids
ack,advertisement.global_brand_ids
ack,advertisement.global_industry_ids
ack,advertisement.inventory_protection_flags
ack,advertisement.io_id
ack,advertisement.is_bumper
ack,advertisement.is_embedded_tracking
ack,advertisement.is_fallback
ack,advertisement.is_sstf_fallback
ack,advertisement.is_undeliverable
ack,advertisement.market_ad_id
ack,advertisement.matched_audience_item_ids
ack,advertisement.placement_id
ack,advertisement.placement_type_priority
ack,advertisement.rendition_id
ack,advertisement.spot_id
ack,auction.app_bundle
ack,auction.auction_network_to_eur_exchange_rate
ack,auction.auction_network_to_usd_exchange_rate
ack,auction.auction_status
ack,auction.bid_throttling_info
ack,auction.bid_throttling_info.exempt_thousandth
ack,auction.bid_throttling_info.flags
ack,auction.bid_throttling_info.model_info.model_flags
ack,auction.bid_throttling_info.model_info.model_id
ack,auction.buyer_group_id
ack,auction.buyer_platform_id
ack,auction.buyer_platform_url_id
ack,auction.device_type
ack,auction.dsp_id
ack,auction.flags
ack,auction.integration_type
ack,auction.invite_deal_size
ack,auction.mkpl_partner_tags.strategy
ack,auction.network_id
ack,auction.publisher_id
ack,auction.site_section_id
ack,candidate.advertiser_id
ack,candidate.bidding_buyer_id
ack,candidate.bit_flags
ack,candidate.brand_id
ack,candidate.buyer_group_id
ack,candidate.buyer_id
ack,candidate.buyer_platform_id
ack,candidate.candidate_network_to_auction_network_exchange_rate
ack,candidate.clearing_price
ack,candidate.dsp_clearing_price
ack,candidate.dsp_crid
ack,candidate.dsp_currency_id
ack,candidate.dsp_id
ack,candidate.duration
ack,candidate.error
ack,candidate.external_ad_id
ack,candidate.integration_type
ack,candidate.internal_deal_id
ack,candidate.internal_group_deal_id
ack,candidate.internal_seat_id
ack,candidate.market_ad_id
ack,candidate.media_buyer_id
ack,candidate.network_id
ack,candidate.order_id
ack,candidate.raw_price
ack,candidate.trading_desk_id
ack,partners
ack,partners.airing_channel_id
ack,partners.airing_id
ack,partners.asset_id
ack,partners.avails_category.avails_in_played_slot
ack,partners.avails_category.opportunity_in_played_slot
ack,partners.avails_category.supply_avails
ack,partners.avails_category.total_avails_in_played_slot
ack,partners.avails_category.total_unfilled_avails_in_played_slot
ack,partners.avails_category.unfilled_avails_in_played_slot
ack,partners.bit_flags
ack,partners.carriage_inventory_owner_id
ack,partners.content_form_visibility.report_aggregate
ack,partners.content_owner_bidding_modified_revenue
ack,partners.content_owner_bidding_original_revenue
ack,partners.content_owner_bidding_revenue
ack,partners.content_owner_network_id
ack,partners.content_owner_revenue
ack,partners.content_rating_visibility.report_aggregate
ack,partners.deal_awareability
ack,partners.demand_dim_awareability
ack,partners.distributor_network_id
ack,partners.distributor_revenue
ack,partners.eligible_outbound_orders.avails_category.opportunity_in_played_slot
ack,partners.eligible_outbound_orders.avails_category.total_avails_in_played_slot
ack,partners.eligible_outbound_orders.avails_category.total_unfilled_avails_in_played_slot
ack,partners.eligible_outbound_orders.bit_flags
ack,partners.eligible_outbound_orders.down_network_id
ack,partners.eligible_outbound_orders.order_id
ack,partners.eligible_outbound_orders.sales_channel
ack,partners.entity_source
ack,partners.geo_city_visibility.report_aggregate
ack,partners.geo_country_visibility.report_aggregate
ack,partners.geo_dma_visibility.report_aggregate
ack,partners.geo_state_visibility.report_aggregate
ack,partners.geo_visibility.report_aggregate
ack,partners.geo_zip_code_visibility.report_aggregate
ack,partners.global_currency_id
ack,partners.inbound_listing_id
ack,partners.inbound_order_auction_type
ack,partners.inbound_order_id
ack,partners.inbound_order_type
ack,partners.matched_audience_item_ids
ack,partners.network_execution_ctx_flags
ack,partners.network_id
ack,partners.network_is_ad_owner
ack,partners.network_is_extra_item_owner
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.companion_check_failed
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.do_not_repeat
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.input_ad_number
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.no_creative
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.pod_position_targeting_check_failed
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.slot_exclusivity_check_failed
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.slot_filled_by_multi_ad
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.slot_max_duration
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.slot_max_num_ads
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.slot_sponsorship_check_failed
ack,partners.network_selection_info.candidate_ad_funnel_metrics.ad_filling_metrics.time_based_freq_cap
ack,partners.network_selection_info.candidate_ad_funnel_metrics.demand_type
ack,partners.network_selection_info.candidate_ad_funnel_metrics.network_id
ack,partners.outbound_exchange_order_id
ack,partners.outbound_listing_id
ack,partners.outbound_order_id
ack,partners.outbound_order_type
ack,partners.programmatic_exchange_rate_to_eur
ack,partners.programmatic_exchange_rate_to_usd
ack,partners.reseller_network_id
ack,partners.reseller_revenue
ack,partners.revenue
ack,partners.role
ack,partners.sales_channel
ack,partners.series_id
ack,partners.site_id
ack,partners.site_section_id
ack,partners.ssp_clearing_revenue
ack,partners.standard_brand_visibility.report_aggregate
ack,partners.standard_channel_visibility.report_aggregate
ack,partners.standard_content_daypart_visibility.report_aggregate
ack,partners.standard_endpoint_owner_visibility.report_aggregate
ack,partners.standard_endpoint_visibility.report_aggregate
ack,partners.standard_genre_visibility.report_aggregate
ack,partners.standard_language_visibility.report_aggregate
ack,partners.standard_programmer_visibility.report_aggregate
ack,partners.supply_acquisition_cost
ack,partners.supply_distribution_cost
ack,partners.supply_source
ack,partners.tracked_audience_item_ids
ack,partners.user_agent_visibility.report_aggregate
ack,request.advertisement_count
ack,request.advertisement_delivered_count
ack,request.bid_request.publisher_id
ack,request.bit_flags
ack,request.context.ab_test_item.bucket_id
ack,request.context.asset_duration
ack,request.context.asset_id
ack,request.context.content_form_id
ack,request.context.content_rating_id
ack,request.context.distributor_site_section_id
ack,request.context.distributor_video_asset_id
ack,request.context.host_name
ack,request.context.inventory_location_id
ack,request.context.ip_enabled_audience_id
ack,request.context.network_id
ack,request.context.page_random
ack,request.context.po_type
ack,request.context.profile_id
ack,request.context.profile_trait.post_selection_external_ad_timeout
ack,request.context.profile_trait.pre_selection_external_ad_timeout
ack,request.context.profile_type
ack,request.context.request_duration
ack,request.context.request_format
ack,request.context.response_format
ack,request.context.site_section_cro_asset_id
ack,request.context.site_section_cro_site_id
ack,request.context.site_section_id
ack,request.context.source_id
